triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Xerophyta_villosa_ERR2040709,Xerophyta_villosa_ERR2040709,0.0,2.2926633404577292,3.455289997506727e-14,0.9999999999999655,0.035119687474012076,0.0918761275395189,-1091.6496363267627,-801.743453242367,291
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Sphaeradenia_woodsonii_ERR3487374,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Sphaeradenia_woodsonii_ERR3487374,Croomia_pauciflora_SRR8298337,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Sphaeradenia_woodsonii_ERR3487374,Sphaeradenia_woodsonii_ERR3487374,0.0,2.549228067732922,5.833313827721103e-19,1.0,0.021586495416605962,0.06147374408934707,-1357.3055982437904,-1035.6091369829758,291
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Triuris_sp_2_SRR19179851,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Triuris_sp_2_SRR19179851,Croomia_pauciflora_SRR8298337,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Triuris_sp_2_SRR19179851,Triuris_sp_2_SRR19179851,0.0,1.98705901536131,5.265682599571769e-16,0.9999999999999996,0.0284356929327164,0.06823656382817869,-1251.5228281570169,-974.8655703402961,291
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Triuris_sp_1_SRR19179850,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Triuris_sp_1_SRR19179850,Croomia_pauciflora_SRR8298337,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Triuris_sp_1_SRR19179850,Triuris_sp_1_SRR19179850,0.0,1.98705901536131,5.265682599571769e-16,0.9999999999999996,0.0284356929327164,0.06823656382817869,-1251.5228281570169,-974.8655703402961,291
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Lacandonia_schismatica_SRR19179849,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Lacandonia_schismatica_SRR19179849,Croomia_pauciflora_SRR8298337,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Lacandonia_schismatica_SRR19179849,Lacandonia_schismatica_SRR19179849,0.0,1.98705901536131,5.265682599571769e-16,0.9999999999999996,0.0284356929327164,0.06823656382817869,-1251.5228281570169,-974.8655703402961,291
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Freycinetia_multiflora_ERR2040706,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Freycinetia_multiflora_ERR2040706,Croomia_pauciflora_SRR8298337,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Freycinetia_multiflora_ERR2040706,Freycinetia_multiflora_ERR2040706,0.0,2.4083793206530806,4.729967728235085e-18,1.0,0.023185425784530506,0.06329881092783506,-1327.6742400728767,-1018.5819203391642,291
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Pandanus_amaryllifolius_SRR13452149,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Pandanus_amaryllifolius_SRR13452149,Croomia_pauciflora_SRR8298337,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Pandanus_amaryllifolius_SRR13452149,Pandanus_amaryllifolius_SRR13452149,0.0,2.3916754144358867,9.812154729929984e-18,1.0,0.02347896360060414,0.06370653890034365,-1321.4472909947087,-1014.8450935750068,291
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Pandanus_utilis_SRR6374687,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Pandanus_utilis_SRR6374687,Croomia_pauciflora_SRR8298337,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Pandanus_utilis_SRR6374687,Pandanus_utilis_SRR6374687,0.0,2.3939884258338053,9.64512769017696e-18,1.0,0.02348344686771799,0.06377447714776631,-1321.1443510173387,-1014.2247649179396,291
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Pandanus_odorifer_SRR5927127,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Pandanus_odorifer_SRR5927127,Croomia_pauciflora_SRR8298337,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Pandanus_odorifer_SRR5927127,Pandanus_odorifer_SRR5927127,0.0,2.399080714550405,5.113965124560613e-18,1.0,0.023433600903475908,0.06376785601374571,-1322.3178071147292,-1014.2851919135571,291
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Pandanus_tectorius_SRR19179847,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Pandanus_tectorius_SRR19179847,Croomia_pauciflora_SRR8298337,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Pandanus_tectorius_SRR19179847,Pandanus_tectorius_SRR19179847,0.0,2.3871086600863696,1.063996580661129e-17,1.0,0.023523880977403124,0.06370149429553265,-1320.7109079059037,-1014.8911810928487,291
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Acanthochlamys_bracteata_GCA_019914995,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Acanthochlamys_bracteata_GCA_019914995,Croomia_pauciflora_SRR8298337,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Acanthochlamys_bracteata_GCA_019914995,Acanthochlamys_bracteata_GCA_019914995,0.0,2.3209109391787233,1.468952743912875e-14,0.9999999999999853,0.03473897194371892,0.0919236777113402,-1096.034205534668,-801.4423190754449,291
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Xerophyta_humilis_SRR8334914,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Xerophyta_humilis_SRR8334914,Croomia_pauciflora_SRR8298337,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Xerophyta_humilis_SRR8334914,Xerophyta_humilis_SRR8334914,0.0,2.3209109391787233,1.468952743912875e-14,0.9999999999999853,0.03473897194371892,0.0919236777113402,-1096.034205534668,-801.4423190754449,291
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Talbotia_elegans_SRR19179852,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Talbotia_elegans_SRR19179852,Croomia_pauciflora_SRR8298337,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Talbotia_elegans_SRR19179852,Talbotia_elegans_SRR19179852,0.0,2.3209109391787233,1.468952743912875e-14,0.9999999999999853,0.03473897194371892,0.0919236777113402,-1096.034205534668,-801.4423190754449,291
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Xerophyta_villosa_ERR2040709,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Xerophyta_villosa_ERR2040709,Croomia_pauciflora_SRR8298337,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_pauciflora_SRR8298337_Xerophyta_villosa_ERR2040709,Xerophyta_villosa_ERR2040709,0.0,2.3209109391787233,1.468952743912875e-14,0.9999999999999853,0.03473897194371892,0.0919236777113402,-1096.034205534668,-801.4423190754449,291
